data,regiao,estado,produto,categoria,quantidade,valor,meta_atingida
2025-12-14,Sudeste,SP,SSD,Hardware,11,4281.78,Sim
2025-01-16,Nordeste,BA,Headset,Acessórios,11,2072.68,Sim
2025-06-13,Sul,RS,Placa de Vídeo,Hardware,5,12511.64,Não
2025-05-27,Sul,PR,Mouse,Acessórios,12,943.52,Sim
2025-12-26,Nordeste,PE,SSD,Hardware,6,2489.8,Sim
2025-08-14,Sul,SC,Headset,Acessórios,12,2418.41,Sim
2025-10-13,Sul,PR,Notebook,Eletrônicos,6,18494.49,Não
2025-03-16,Sul,PR,Notebook,Eletrônicos,2,6803.19,Sim
2025-12-05,Sudeste,RJ,Teclado,Acessórios,11,1304.37,Sim
2025-07-12,Sudeste,SP,Placa de Vídeo,Hardware,1,2528.37,Não
2025-07-06,Sudeste,MG,Notebook,Eletrônicos,11,35214.15,Não
2025-12-04,Sudeste,SP,Teclado,Acessórios,1,118.42,Sim
2025-05-03,Sudeste,MG,Notebook,Eletrônicos,3,9227.32,Não
2025-06-16,Centro-Oeste,GO,Placa de Vídeo,Hardware,9,23410.03,Não
2025-08-01,Sudeste,RJ,Mesa,Móveis,14,11765.83,Sim
2025-02-18,Sudeste,SP,Mesa,Móveis,6,5213.49,Não
2025-05-12,Sudeste,RJ,Mesa,Móveis,2,1798.74,Sim
2025-03-10,Sudeste,RJ,Cadeira,Móveis,4,4536.27,Sim
2025-02-21,Nordeste,BA,Mesa,Móveis,13,12169.63,Sim
2025-11-15,Sul,PR,Notebook,Eletrônicos,11,33829.86,Sim
2025-08-20,Nordeste,CE,SSD,Hardware,2,903.14,Sim
2025-05-20,Nordeste,BA,Mesa,Móveis,6,5583.27,Sim
2025-06-01,Sudeste,MG,Mesa,Móveis,4,3826.34,Sim
2025-06-06,Nordeste,CE,Teclado,Acessórios,3,379.48,Sim
2025-08-16,Sudeste,SP,SSD,Hardware,12,4751.39,Sim
2025-12-27,Sudeste,SP,Teclado,Acessórios,9,1084.57,Sim
2025-12-05,Sudeste,SP,Notebook,Eletrônicos,3,9093.09,Não
2025-06-03,Nordeste,PE,Placa de Vídeo,Hardware,10,27323.83,Não
2025-05-26,Sul,RS,Headset,Acessórios,6,1155.35,Sim
2025-06-27,Sudeste,SP,Notebook,Eletrônicos,1,3078.89,Não
2025-08-05,Sul,RS,Cadeira,Móveis,7,8603.32,Sim
2025-06-11,Sudeste,SP,Headset,Acessórios,3,534.9,Não
2025-09-17,Nordeste,BA,SSD,Hardware,4,1697.17,Sim
2025-08-06,Sul,RS,Teclado,Acessórios,13,1615.17,Não
2025-05-09,Sudeste,MG,Notebook,Eletrônicos,10,29741.3,Não
2025-05-11,Sudeste,RJ,Placa de Vídeo,Hardware,2,5281.42,Não
2025-05-18,Sul,SC,Mouse,Acessórios,12,1008.52,Sim
2025-02-09,Sudeste,MG,Headset,Acessórios,9,1591.68,Sim
2025-03-12,Sudeste,SP,Mesa,Móveis,13,11592.66,Sim
2025-09-08,Sudeste,SP,Mouse,Acessórios,11,846.0,Sim
2025-05-21,Norte,PA,Notebook,Eletrônicos,5,16417.09,Não
2025-03-05,Norte,PA,Mesa,Móveis,8,6685.6,Não
2025-08-07,Nordeste,BA,Teclado,Acessórios,8,1027.13,Sim
2025-10-07,Sudeste,RJ,Mesa,Móveis,11,10408.3,Sim
2025-04-25,Norte,PA,Placa de Vídeo,Hardware,4,9877.46,Sim
2025-10-26,Nordeste,CE,Cadeira,Móveis,5,5587.4,Sim
2025-12-14,Nordeste,BA,Mesa,Móveis,4,3609.92,Sim
2025-08-05,Sul,RS,Headset,Acessórios,5,983.15,Sim
2025-09-21,Sudeste,RJ,Headset,Acessórios,3,564.77,Não
2025-01-14,Sudeste,SP,Teclado,Acessórios,1,113.4,Sim
2025-12-23,Norte,PA,SSD,Hardware,14,5507.59,Sim
2025-06-10,Sul,RS,Mouse,Acessórios,2,172.79,Sim
2025-12-27,Sudeste,SP,Teclado,Acessórios,13,1548.86,Não
2025-08-22,Sudeste,RJ,SSD,Hardware,1,445.03,Não
2025-01-07,Sul,PR,SSD,Hardware,11,4606.97,Sim
2025-01-20,Sudeste,SP,Placa de Vídeo,Hardware,5,13878.5,Sim
2025-09-08,Centro-Oeste,GO,Headset,Acessórios,8,1419.74,Sim
2025-08-10,Nordeste,PE,Mesa,Móveis,4,3340.15,Sim
2025-01-07,Nordeste,BA,Cadeira,Móveis,7,8603.37,Sim
2025-10-19,Sudeste,MG,Mouse,Acessórios,7,600.1,Sim
2025-11-08,Sul,SC,Teclado,Acessórios,8,931.54,Não
2025-07-18,Sul,PR,Monitor,Eletrônicos,6,5567.91,Sim
2025-06-16,Sul,SC,Headset,Acessórios,8,1508.44,Sim
2025-01-21,Sudeste,SP,Mouse,Acessórios,12,947.12,Sim
2025-10-27,Sudeste,MG,SSD,Hardware,7,2794.2,Não
2025-05-01,Sudeste,SP,SSD,Hardware,6,2680.62,Não
2025-11-27,Sul,RS,Monitor,Eletrônicos,2,1825.01,Não
2025-05-03,Sudeste,RJ,Mesa,Móveis,6,5515.38,Sim
2025-08-15,Sudeste,SP,Notebook,Eletrônicos,2,5956.77,Sim
2025-04-10,Sudeste,SP,Mesa,Móveis,3,2472.95,Não
2025-03-18,Sul,PR,Teclado,Acessórios,14,1721.32,Não
2025-10-20,Sudeste,SP,Mouse,Acessórios,2,155.88,Sim
2025-07-24,Norte,PA,Mesa,Móveis,7,6384.96,Sim
2025-07-11,Sul,PR,Teclado,Acessórios,12,1346.46,Sim
2025-12-26,Sudeste,MG,SSD,Hardware,14,6303.22,Não
2025-12-09,Sul,SC,Mouse,Acessórios,3,249.54,Não
2025-11-06,Sudeste,SP,Placa de Vídeo,Hardware,3,8269.58,Sim
2025-03-11,Norte,PA,Cadeira,Móveis,6,6498.66,Sim
2025-08-15,Sul,RS,Headset,Acessórios,8,1476.26,Sim
2025-11-19,Nordeste,CE,Mesa,Móveis,14,12197.53,Sim
2025-05-23,Sudeste,SP,Teclado,Acessórios,3,362.14,Sim
2025-02-07,Sul,RS,Mouse,Acessórios,3,232.2,Não
2025-10-09,Sul,RS,Monitor,Eletrônicos,4,3532.86,Sim
2025-07-26,Norte,PA,Monitor,Eletrônicos,13,12090.9,Sim
2025-08-12,Sul,PR,Cadeira,Móveis,1,1104.84,Sim
2025-12-07,Sul,RS,Monitor,Eletrônicos,6,5595.96,Sim
2025-08-27,Sudeste,RJ,Placa de Vídeo,Hardware,2,4947.87,Sim
2025-06-13,Sudeste,RJ,SSD,Hardware,3,1212.0,Sim
2025-05-27,Sul,PR,Mesa,Móveis,13,11805.01,Sim
2025-06-25,Sudeste,MG,Mesa,Móveis,1,874.07,Não
2025-02-25,Sudeste,SP,Cadeira,Móveis,5,5607.75,Sim
2025-10-16,Centro-Oeste,GO,Notebook,Eletrônicos,13,41825.68,Sim
2025-11-22,Norte,AM,Teclado,Acessórios,9,1126.98,Sim
2025-04-26,Sudeste,SP,Mouse,Acessórios,2,156.9,Não
2025-05-08,Sul,PR,Placa de Vídeo,Hardware,7,18454.86,Sim
2025-11-02,Sudeste,SP,Monitor,Eletrônicos,14,14292.08,Não
2025-01-09,Nordeste,BA,Mouse,Acessórios,6,481.69,Não
2025-07-18,Sudeste,RJ,Teclado,Acessórios,8,1022.94,Sim
2025-06-15,Nordeste,BA,Monitor,Eletrônicos,8,7957.11,Sim
2025-09-03,Nordeste,PE,Notebook,Eletrônicos,10,29740.64,Não
2025-03-16,Nordeste,PE,Teclado,Acessórios,3,355.92,Sim
2025-09-05,Sudeste,SP,Notebook,Eletrônicos,12,39618.47,Sim
2025-05-14,Norte,PA,Notebook,Eletrônicos,14,48288.75,Sim
2025-08-16,Sudeste,RJ,Teclado,Acessórios,2,238.4,Sim
2025-01-18,Sudeste,SP,Monitor,Eletrônicos,12,10657.24,Sim
2025-06-12,Sul,PR,Mouse,Acessórios,12,969.52,Sim
2025-07-12,Sudeste,MG,Notebook,Eletrônicos,11,33096.81,Sim
2025-03-19,Centro-Oeste,GO,Headset,Acessórios,6,1185.88,Sim
2025-02-21,Nordeste,CE,Mouse,Acessórios,7,560.69,Sim
2025-03-22,Sudeste,RJ,Placa de Vídeo,Hardware,12,32315.37,Não
2025-05-10,Norte,PA,Cadeira,Móveis,3,3653.89,Sim
2025-02-12,Sudeste,RJ,SSD,Hardware,12,5143.98,Sim
2025-12-09,Sul,RS,Teclado,Acessórios,13,1588.06,Sim
2025-06-15,Sudeste,RJ,Mouse,Acessórios,10,832.58,Sim
2025-10-04,Norte,PA,Teclado,Acessórios,5,632.88,Sim
2025-12-12,Sudeste,SP,SSD,Hardware,8,3558.4,Sim
2025-02-06,Sudeste,SP,Placa de Vídeo,Hardware,1,2407.15,Sim
2025-09-15,Sudeste,MG,Placa de Vídeo,Hardware,14,36727.25,Sim
2025-11-23,Norte,PA,Mesa,Móveis,5,4247.98,Sim
2025-08-27,Norte,AM,Mouse,Acessórios,1,84.61,Sim
2025-06-13,Nordeste,PE,Mouse,Acessórios,12,982.79,Sim
2025-06-02,Norte,AM,Placa de Vídeo,Hardware,10,25668.13,Sim
2025-01-07,Norte,AM,Headset,Acessórios,9,1624.67,Sim
2025-07-03,Sul,RS,Teclado,Acessórios,1,116.91,Sim
2025-12-21,Sudeste,RJ,Placa de Vídeo,Hardware,11,29532.49,Sim
2025-12-27,Nordeste,CE,Teclado,Acessórios,9,1028.91,Sim
2025-01-15,Nordeste,BA,Headset,Acessórios,12,2131.74,Sim
2025-09-05,Sudeste,MG,Cadeira,Móveis,12,14656.77,Sim
2025-05-01,Sudeste,SP,Headset,Acessórios,3,594.1,Não
2025-11-27,Nordeste,PE,Placa de Vídeo,Hardware,3,7425.34,Sim
2025-01-09,Sudeste,RJ,Placa de Vídeo,Hardware,13,32676.82,Sim
2025-12-04,Norte,PA,Headset,Acessórios,8,1634.81,Sim
2025-11-05,Sudeste,RJ,Mouse,Acessórios,7,578.65,Não
2025-02-07,Sudeste,SP,Placa de Vídeo,Hardware,5,13229.89,Sim
2025-01-18,Centro-Oeste,GO,Mesa,Móveis,9,7763.46,Sim
2025-11-25,Sudeste,SP,Monitor,Eletrônicos,11,10114.14,Não
2025-03-08,Sudeste,SP,Cadeira,Móveis,1,1065.27,Sim
2025-07-19,Sul,SC,Cadeira,Móveis,8,9536.33,Não
2025-11-02,Norte,AM,Cadeira,Móveis,14,14923.22,Sim
2025-08-01,Sudeste,SP,Notebook,Eletrônicos,4,11785.95,Sim
2025-06-02,Sudeste,RJ,Headset,Acessórios,4,787.91,Sim
2025-06-25,Nordeste,CE,SSD,Hardware,13,5852.14,Sim
2025-01-16,Norte,PA,Headset,Acessórios,1,197.8,Não
2025-12-22,Sul,RS,Headset,Acessórios,6,1134.83,Sim
2025-05-01,Sudeste,SP,Headset,Acessórios,7,1327.03,Não
2025-03-01,Sudeste,SP,Monitor,Eletrônicos,12,11283.51,Sim
2025-04-23,Sudeste,RJ,Monitor,Eletrônicos,2,1846.69,Sim
2025-12-03,Sudeste,SP,Teclado,Acessórios,7,842.92,Não
2025-02-05,Nordeste,BA,SSD,Hardware,3,1246.12,Sim
2025-11-15,Sudeste,SP,Notebook,Eletrônicos,12,39003.14,Não
2025-09-17,Sul,RS,Headset,Acessórios,9,1818.93,Sim
2025-11-07,Nordeste,BA,Notebook,Eletrônicos,7,24174.11,Não
2025-12-13,Sul,PR,Cadeira,Móveis,6,6434.93,Sim
2025-11-19,Sudeste,SP,Headset,Acessórios,3,559.48,Sim
2025-12-12,Nordeste,CE,SSD,Hardware,13,5181.06,Sim
2025-02-11,Nordeste,BA,Cadeira,Móveis,10,11227.9,Sim
2025-10-02,Nordeste,PE,SSD,Hardware,5,2028.59,Sim
2025-07-13,Sudeste,SP,Cadeira,Móveis,6,6540.69,Sim
2025-07-22,Sudeste,SP,Teclado,Acessórios,11,1375.77,Não
2025-11-17,Norte,PA,SSD,Hardware,11,4617.26,Sim
2025-12-25,Sudeste,MG,Mouse,Acessórios,7,597.56,Não
2025-09-04,Sudeste,RJ,Placa de Vídeo,Hardware,5,12027.79,Não
2025-07-01,Sul,RS,Placa de Vídeo,Hardware,10,24198.63,Sim
2025-06-15,Nordeste,BA,Cadeira,Móveis,10,11322.02,Sim
2025-05-05,Norte,PA,Mesa,Móveis,9,7472.08,Sim
2025-05-17,Sudeste,RJ,Headset,Acessórios,2,365.57,Sim
2025-06-25,Norte,PA,SSD,Hardware,7,3168.63,Sim
2025-02-10,Sudeste,SP,Mesa,Móveis,9,7637.0,Não
2025-02-15,Sul,PR,Placa de Vídeo,Hardware,14,34641.84,Sim
2025-10-19,Sul,SC,Headset,Acessórios,8,1537.91,Sim
2025-06-05,Sudeste,SP,SSD,Hardware,5,2099.33,Não
2025-12-25,Sudeste,SP,Mouse,Acessórios,8,648.24,Sim
2025-08-06,Sudeste,MG,Monitor,Eletrônicos,3,2793.79,Sim
2025-01-22,Norte,PA,Monitor,Eletrônicos,2,1999.34,Sim
2025-03-18,Sul,SC,Cadeira,Móveis,10,10834.99,Não
2025-03-04,Norte,PA,Headset,Acessórios,14,2629.52,Sim
2025-12-20,Nordeste,CE,Notebook,Eletrônicos,12,39565.9,Sim
2025-03-06,Sul,RS,Teclado,Acessórios,9,1143.63,Sim
2025-07-17,Nordeste,CE,Cadeira,Móveis,1,1126.0,Sim
2025-12-26,Sudeste,SP,Headset,Acessórios,14,2688.83,Sim
2025-12-26,Sudeste,SP,Placa de Vídeo,Hardware,7,16945.34,Sim
2025-04-24,Centro-Oeste,GO,SSD,Hardware,5,1989.23,Não
2025-01-14,Nordeste,CE,Mouse,Acessórios,13,968.3,Sim
2025-03-16,Sudeste,RJ,Placa de Vídeo,Hardware,11,29642.78,Não
2025-01-09,Sul,PR,Teclado,Acessórios,11,1275.24,Sim
2025-03-25,Sul,SC,Monitor,Eletrônicos,4,3936.04,Sim
2025-08-13,Norte,AM,Notebook,Eletrônicos,14,41691.94,Sim
2025-11-21,Sul,SC,Placa de Vídeo,Hardware,7,19255.74,Sim
2025-07-10,Sudeste,MG,Placa de Vídeo,Hardware,8,21916.64,Não
2025-08-20,Sudeste,MG,Mesa,Móveis,11,9146.1,Não
2025-03-07,Sudeste,MG,Notebook,Eletrônicos,10,29561.63,Não
2025-10-20,Nordeste,BA,Headset,Acessórios,3,529.53,Sim
2025-08-02,Norte,AM,Notebook,Eletrônicos,5,16905.29,Não
2025-11-03,Sul,RS,Notebook,Eletrônicos,6,18385.01,Sim
2025-12-10,Sudeste,RJ,Headset,Acessórios,14,2680.55,Não
2025-05-14,Sudeste,RJ,Cadeira,Móveis,11,12500.72,Sim
2025-02-20,Nordeste,PE,Notebook,Eletrônicos,6,20107.85,Sim
2025-04-10,Nordeste,CE,Placa de Vídeo,Hardware,11,28549.2,Sim
2025-06-01,Sudeste,SP,Mouse,Acessórios,11,880.09,Sim
2025-12-09,Sudeste,SP,Headset,Acessórios,6,1229.21,Sim
2025-05-12,Sul,SC,Mouse,Acessórios,6,453.13,Não
2025-10-15,Sudeste,SP,SSD,Hardware,13,5748.9,Não
2025-07-18,Centro-Oeste,GO,Headset,Acessórios,8,1410.99,Não
2025-03-07,Sudeste,RJ,Notebook,Eletrônicos,3,9565.67,Sim
2025-05-17,Sudeste,SP,Notebook,Eletrônicos,11,37375.84,Sim
2025-09-18,Norte,PA,SSD,Hardware,9,3879.92,Sim
2025-09-21,Sudeste,SP,Monitor,Eletrônicos,8,7825.22,Sim
2025-06-15,Sudeste,RJ,Cadeira,Móveis,11,12170.95,Sim
2025-04-22,Sudeste,SP,Teclado,Acessórios,13,1539.68,Sim
2025-09-06,Sudeste,SP,Mesa,Móveis,5,4355.01,Sim
2025-03-20,Sudeste,SP,Notebook,Eletrônicos,6,19265.87,Sim
2025-12-02,Sudeste,SP,Placa de Vídeo,Hardware,3,7752.86,Sim
2025-03-03,Sudeste,SP,Mesa,Móveis,10,8653.5,Sim
2025-02-24,Sudeste,SP,Mouse,Acessórios,6,465.06,Sim
2025-07-13,Sul,SC,Monitor,Eletrônicos,5,4560.65,Não
2025-07-17,Nordeste,BA,Placa de Vídeo,Hardware,10,25438.6,Sim
2025-07-17,Sudeste,MG,Headset,Acessórios,6,1076.15,Não
2025-06-19,Sudeste,RJ,Mouse,Acessórios,7,593.34,Sim
2025-12-07,Sul,RS,Teclado,Acessórios,7,853.72,Não
2025-07-05,Norte,AM,Headset,Acessórios,4,715.47,Não
2025-07-02,Centro-Oeste,GO,Teclado,Acessórios,2,247.44,Não
2025-06-24,Sudeste,SP,Monitor,Eletrônicos,12,12034.14,Sim
2025-01-07,Sudeste,SP,Notebook,Eletrônicos,2,6131.24,Sim
2025-08-16,Sudeste,RJ,Headset,Acessórios,5,896.89,Sim
2025-04-13,Sudeste,RJ,Monitor,Eletrônicos,10,8753.1,Sim
2025-08-05,Sul,PR,Teclado,Acessórios,2,222.61,Sim
2025-01-12,Sudeste,MG,SSD,Hardware,10,4376.23,Sim
2025-12-03,Sudeste,SP,Monitor,Eletrônicos,11,11264.58,Sim
2025-06-05,Sudeste,MG,Notebook,Eletrônicos,10,29669.79,Sim
2025-11-04,Sul,PR,Notebook,Eletrônicos,5,16635.06,Sim
2025-07-23,Sudeste,SP,Mouse,Acessórios,1,74.52,Sim
2025-01-16,Centro-Oeste,GO,Headset,Acessórios,13,2506.41,Não
2025-10-25,Sudeste,SP,Mouse,Acessórios,5,416.39,Não
2025-09-12,Norte,PA,Notebook,Eletrônicos,12,37534.95,Sim
2025-10-06,Sudeste,SP,Headset,Acessórios,3,525.4,Sim
2025-06-17,Centro-Oeste,GO,Teclado,Acessórios,3,365.48,Sim
2025-08-26,Norte,PA,Teclado,Acessórios,11,1423.75,Sim
2025-11-15,Norte,PA,Mouse,Acessórios,14,1076.57,Sim
2025-08-01,Nordeste,CE,SSD,Hardware,13,5188.74,Sim
2025-05-09,Nordeste,CE,Mouse,Acessórios,11,827.05,Não
2025-09-25,Sul,SC,SSD,Hardware,4,1694.85,Sim
2025-09-14,Nordeste,CE,Mouse,Acessórios,13,1056.05,Não
2025-12-26,Sudeste,SP,Headset,Acessórios,10,1988.85,Sim
2025-05-14,Sul,PR,Headset,Acessórios,3,593.08,Sim
2025-06-01,Sul,RS,Headset,Acessórios,2,403.87,Não
2025-10-24,Centro-Oeste,GO,Cadeira,Móveis,13,15681.41,Sim
2025-07-21,Sul,RS,Headset,Acessórios,4,729.27,Não
2025-10-20,Sudeste,MG,Placa de Vídeo,Hardware,11,28855.7,Sim
2025-06-27,Sul,SC,Mouse,Acessórios,2,154.81,Sim
2025-03-06,Sudeste,RJ,SSD,Hardware,4,1634.25,Sim
2025-10-25,Sudeste,SP,Mesa,Móveis,4,3806.04,Não
2025-02-07,Sul,RS,Teclado,Acessórios,4,493.97,Sim
2025-03-27,Sudeste,MG,Headset,Acessórios,10,2044.28,Não
2025-08-06,Sudeste,RJ,Mesa,Móveis,13,11416.19,Não
2025-10-15,Sudeste,MG,Headset,Acessórios,13,2484.8,Não
2025-11-22,Sudeste,MG,Headset,Acessórios,11,2085.69,Sim
2025-04-03,Sudeste,RJ,Placa de Vídeo,Hardware,3,7309.89,Não
2025-02-02,Sudeste,MG,Mouse,Acessórios,14,1072.82,Não
2025-12-23,Nordeste,BA,Notebook,Eletrônicos,8,25713.2,Sim
2025-03-02,Sudeste,RJ,Mouse,Acessórios,8,595.7,Sim
2025-03-17,Norte,PA,Mouse,Acessórios,10,855.23,Sim
2025-04-26,Norte,PA,SSD,Hardware,11,4341.95,Sim
2025-07-17,Sul,RS,Mesa,Móveis,14,11857.89,Não
2025-11-13,Sudeste,RJ,Monitor,Eletrônicos,9,8912.96,Sim
2025-10-12,Sul,PR,Monitor,Eletrônicos,9,7998.61,Sim
2025-09-18,Centro-Oeste,GO,Cadeira,Móveis,11,13460.16,Sim
2025-03-16,Nordeste,BA,Notebook,Eletrônicos,4,13262.24,Sim
2025-05-14,Nordeste,CE,Headset,Acessórios,5,884.43,Sim
2025-07-05,Sul,PR,Monitor,Eletrônicos,9,8812.45,Não
2025-03-18,Sul,SC,Notebook,Eletrônicos,1,3267.39,Sim
2025-04-20,Sudeste,RJ,Placa de Vídeo,Hardware,5,13535.29,Sim
2025-05-20,Nordeste,PE,Notebook,Eletrônicos,11,37048.41,Não
2025-02-03,Sudeste,SP,Notebook,Eletrônicos,14,46365.14,Sim
2025-08-19,Nordeste,BA,Placa de Vídeo,Hardware,8,21086.79,Sim
2025-09-20,Norte,AM,Monitor,Eletrônicos,6,5538.09,Sim
2025-01-05,Sudeste,SP,SSD,Hardware,7,3032.8,Não
2025-07-23,Sul,SC,Notebook,Eletrônicos,10,34339.69,Não
2025-10-15,Sudeste,SP,Monitor,Eletrônicos,8,7706.43,Sim
2025-10-13,Nordeste,PE,Notebook,Eletrônicos,1,3284.14,Sim
2025-10-20,Sudeste,SP,Mesa,Móveis,8,7048.38,Sim
2025-06-14,Norte,PA,Cadeira,Móveis,6,7182.76,Sim
2025-10-15,Sudeste,SP,Mouse,Acessórios,10,863.7,Sim
2025-04-09,Norte,PA,Headset,Acessórios,13,2335.79,Não
2025-05-26,Nordeste,CE,Notebook,Eletrônicos,14,42666.84,Não
2025-03-27,Sul,SC,Cadeira,Móveis,9,10415.31,Sim
2025-06-04,Nordeste,CE,Headset,Acessórios,6,1136.6,Não
2025-06-20,Nordeste,CE,Cadeira,Móveis,7,8142.18,Não
2025-04-01,Norte,PA,Mesa,Móveis,3,2477.36,Sim
2025-10-10,Sudeste,RJ,SSD,Hardware,14,5789.94,Sim
2025-05-27,Sul,SC,Mouse,Acessórios,12,972.75,Não
2025-04-05,Sudeste,SP,Notebook,Eletrônicos,12,38923.42,Sim
2025-02-11,Sul,SC,Headset,Acessórios,5,973.91,Não
2025-06-06,Sudeste,SP,SSD,Hardware,5,2173.99,Sim
2025-05-20,Sul,PR,Mouse,Acessórios,12,981.74,Sim
2025-05-13,Sul,PR,Cadeira,Móveis,8,9627.24,Não
2025-04-17,Sul,RS,Mouse,Acessórios,10,815.97,Sim
2025-10-26,Sul,PR,Monitor,Eletrônicos,7,6689.91,Sim
2025-12-15,Nordeste,PE,Placa de Vídeo,Hardware,7,18509.24,Sim
2025-07-20,Nordeste,CE,Mesa,Móveis,9,7498.89,Sim
2025-09-03,Sul,RS,Placa de Vídeo,Hardware,12,30067.6,Sim
2025-11-06,Sul,SC,SSD,Hardware,5,2109.21,Sim
2025-12-26,Norte,PA,Headset,Acessórios,12,2416.07,Sim
2025-08-24,Sudeste,SP,Headset,Acessórios,4,781.77,Sim
2025-11-18,Sudeste,SP,Headset,Acessórios,6,1065.29,Sim
2025-11-11,Sudeste,SP,Placa de Vídeo,Hardware,13,34299.02,Não
2025-10-06,Nordeste,BA,Cadeira,Móveis,14,15383.2,Sim
2025-06-23,Sudeste,MG,Mouse,Acessórios,13,1078.94,Sim
2025-02-22,Nordeste,CE,Placa de Vídeo,Hardware,5,13681.08,Sim
2025-01-07,Nordeste,BA,Cadeira,Móveis,12,14006.35,Sim
2025-07-16,Sudeste,RJ,Placa de Vídeo,Hardware,14,36932.1,Não
2025-07-17,Norte,AM,Placa de Vídeo,Hardware,14,35459.96,Sim
2025-06-13,Nordeste,PE,Notebook,Eletrônicos,1,3172.48,Sim
